trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WE-BHI-LBB-084,19:13:30,19:16:20,19:18:20,19:20:10,19:22:30,19:24:20,19:26:50,19:29:10,19:31:40,19:34:00,19:36:20,19:39:40,19:42:50
NS-WE-BHI-LBB-085,19:23:30,19:26:20,19:28:20,19:30:10,19:32:30,19:34:20,19:36:50,19:39:10,19:41:40,19:44:00,19:46:20,19:49:40,19:52:50
NS-WE-BHI-LBB-086,19:33:30,19:36:20,19:38:20,19:40:10,19:42:30,19:44:20,19:46:50,19:49:10,19:51:40,19:54:00,19:56:20,19:59:40,20:02:50
NS-WE-BHI-LBB-087,19:43:30,19:46:20,19:48:20,19:50:10,19:52:30,19:54:20,19:56:50,19:59:10,20:01:40,20:04:00,20:06:20,20:09:40,20:12:50
NS-WE-BHI-LBB-088,19:53:30,19:56:20,19:58:20,20:00:10,20:02:30,20:04:20,20:06:50,20:09:10,20:11:40,20:14:00,20:16:20,20:19:40,20:22:50
NS-WE-BHI-LBB-089,20:03:30,20:06:20,20:08:20,20:10:10,20:12:30,20:14:20,20:16:50,20:19:10,20:21:40,20:24:00,20:26:20,20:29:40,20:32:50
NS-WE-BHI-LBB-090,20:13:30,20:16:20,20:18:20,20:20:10,20:22:30,20:24:20,20:26:50,20:29:10,20:31:40,20:34:00,20:36:20,20:39:40,20:42:50
NS-WE-BHI-LBB-091,20:23:30,20:26:20,20:28:20,20:30:10,20:32:30,20:34:20,20:36:50,20:39:10,20:41:40,20:44:00,20:46:20,20:49:40,20:52:50
NS-WE-BHI-LBB-092,20:33:30,20:36:20,20:38:20,20:40:10,20:42:30,20:44:20,20:46:50,20:49:10,20:51:40,20:54:00,20:56:20,20:59:40,21:02:50
NS-WE-BHI-LBB-093,20:43:30,20:46:20,20:48:20,20:50:10,20:52:30,20:54:20,20:56:50,20:59:10,21:01:40,21:04:00,21:06:20,21:09:40,21:12:50
NS-WE-BHI-LBB-094,20:53:30,20:56:20,20:58:20,21:00:10,21:02:30,21:04:20,21:06:50,21:09:10,21:11:40,21:14:00,21:16:20,21:19:40,21:22:50
NS-WE-BHI-LBB-095,21:03:30,21:06:20,21:08:20,21:10:10,21:12:30,21:14:20,21:16:50,21:19:10,21:21:40,21:24:00,21:26:20,21:29:40,21:32:50
NS-WE-BHI-LBB-096,21:13:30,21:16:20,21:18:20,21:20:10,21:22:30,21:24:20,21:26:50,21:29:10,21:31:40,21:34:00,21:36:20,21:39:40,21:42:50
NS-WE-BHI-LBB-097,21:23:30,21:26:20,21:28:20,21:30:10,21:32:30,21:34:20,21:36:50,21:39:10,21:41:40,21:44:00,21:46:20,21:49:40,21:52:50
NS-WE-BHI-LBB-098,21:33:30,21:36:20,21:38:20,21:40:10,21:42:30,21:44:20,21:46:50,21:49:10,21:51:40,21:54:00,21:56:20,21:59:40,22:02:50
NS-WE-BHI-LBB-099,21:43:30,21:46:20,21:48:20,21:50:10,21:52:30,21:54:20,21:56:50,21:59:10,22:01:40,22:04:00,22:06:20,22:09:40,22:12:50
NS-WE-BHI-LBB-100,21:53:30,21:56:20,21:58:20,22:00:10,22:02:30,22:04:20,22:06:50,22:09:10,22:11:40,22:14:00,22:16:20,22:19:40,22:22:50
NS-WE-BHI-LBB-101,22:03:30,22:06:20,22:08:20,22:10:10,22:12:30,22:14:20,22:16:50,22:19:10,22:21:40,22:24:00,22:26:20,22:29:40,22:32:50
NS-WE-BHI-LBB-102,22:13:30,22:16:20,22:18:20,22:20:10,22:22:30,22:24:20,22:26:50,22:29:10,22:31:40,22:34:00,22:36:20,22:39:40,22:42:50
NS-WE-BHI-LBB-103,22:23:30,22:26:20,22:28:20,22:30:10,22:32:30,22:34:20,22:36:50,22:39:10,22:41:40,22:44:00,22:46:20,22:49:40,22:52:50
NS-WE-BHI-LBB-104,22:33:30,22:36:20,22:38:20,22:40:10,22:42:30,22:44:20,22:46:50,22:49:10,22:51:40,22:54:00,22:56:20,22:59:40,23:02:50
NS-WE-BHI-LBB-105,22:44:30,22:47:20,22:49:20,22:51:10,22:53:30,22:55:20,22:57:50,23:00:10,23:02:40,23:05:00,23:07:20,23:10:40,23:13:50
NS-WE-BHI-LBB-106,22:55:30,22:58:20,23:00:20,23:02:10,23:04:30,23:06:20,23:08:50,23:11:10,23:13:40,23:16:00,23:18:20,23:21:40,23:24:50
NS-WE-BHI-LBB-107,23:06:50,23:09:40,23:11:40,23:13:30,23:15:50,23:17:40,23:20:10,23:22:30,23:25:00,23:27:20,23:29:40,23:33:00,23:36:10
NS-WE-BHI-LBB-108,23:19:30,23:22:20,23:24:20,23:26:10,23:28:30,23:30:20,23:32:50,23:35:10,23:37:40,23:40:00,23:42:20,23:45:40,23:48:50
NS-WE-BHI-LBB-109,23:31:30,23:34:20,23:36:20,23:38:10,23:40:30,23:42:20,23:44:50,23:47:10,23:49:40,23:52:00,23:54:20,23:57:40,0:00:50
